database,feature,frequency
MIMIC,emergency_surgery,1
MIMIC,gain21_hf,1
MIMIC,gain21_lf,1
MIMIC,furosemide,1
MIMIC,first_care_unit,1
MIMIC,fio2,1
MIMIC,glycemia,1
MIMIC,h,1
MIMIC,h2ra,1
MIMIC,headache,1
MIMIC,fever_chills,1
MIMIC,feature,1
MIMIC,essential_hypertension,1
MIMIC,esi,1
MIMIC,heparin,1
MIMIC,epinephrine,1
MIMIC,icu,1
MIMIC,icu_interval,1
MIMIC,icutype,1
MIMIC,initial_fluid_resuscitation,1
MIMIC,eosinophils,1
MIMIC,inrpt,1
MIMIC,cvp_monitoring,1
MIMIC,medications,1
MIMIC,meld,1
MIMIC,other,1
MIMIC,pain_scale,1
MIMIC,chlorine,1
MIMIC,chest_pain,1
MIMIC,pat_hf,1
MIMIC,pat_lf,1
MIMIC,pat_spect_slope,1
MIMIC,pat_totpwr,1
MIMIC,pat_vlf,1
MIMIC,chd,1
MIMIC,peep,1
MIMIC,cewd,1
MIMIC,cerebral_nervous_system,1
MIMIC,phenylephrine,1
MIMIC,ccs,1
MIMIC,cardiovascular_sofa,1
MIMIC,plr,1
MIMIC,cardiomyopathy,1
MIMIC,cardio_vascular_system,1
MIMIC,po2_fio,1
MIMIC,gain12_lf,1
MIMIC,pp_hf,1
MIMIC,oxygenation,1
MIMIC,cirrhosis,1
MIMIC,mep,1
MIMIC,ck,1
MIMIC,crp,1
MIMIC,mhr,1
MIMIC,mi,1
MIMIC,mode_of_arrival,1
MIMIC,cough,1
MIMIC,corrdim,1
MIMIC,mst,1
MIMIC,mu,1
MIMIC,mv_durations,1
MIMIC,corpuscular_hemoglobin,1
MIMIC,myocardial_infarction,1
MIMIC,nausea_vomiting,1
MIMIC,nephrotoxic_drugs,1
MIMIC,neutrophil,1
MIMIC,nhr,1
MIMIC,continuous_renal_replacement_therapy,1
MIMIC,nma,1
MIMIC,coagulopathy,1
MIMIC,ck_mb,1
MIMIC,ntprobnp,1
MIMIC,number_of_diagnoses,1
MIMIC,malwbc,1
